chembl_id,assay_type,molregno_num,confidence_score
CHEMBL615154,B,48,3
CHEMBL640131,B,64,3
CHEMBL640132,B,64,3
CHEMBL635339,B,51,3
CHEMBL636930,B,48,3
CHEMBL646026,B,40,3
CHEMBL646027,B,40,3
CHEMBL652798,B,41,3
CHEMBL656146,F,63,3
CHEMBL665984,F,37,3
CHEMBL662928,F,35,3
CHEMBL661522,B,46,3
CHEMBL660958,F,44,3
CHEMBL660959,F,44,3
CHEMBL660960,F,43,3
CHEMBL660961,F,44,3
CHEMBL660962,F,44,3
CHEMBL660979,B,50,3
CHEMBL665799,B,37,3
CHEMBL663622,B,40,3
CHEMBL666211,B,48,3
CHEMBL665220,B,55,3
CHEMBL665221,B,36,3
CHEMBL665222,B,41,3
CHEMBL665223,B,36,3
CHEMBL665224,B,33,3
CHEMBL665225,B,33,3
CHEMBL665226,B,44,3
CHEMBL665227,B,38,3
CHEMBL665228,B,56,3
CHEMBL665230,B,38,3
CHEMBL665233,B,38,3
CHEMBL876715,F,55,3
CHEMBL664957,B,34,3
CHEMBL664104,B,42,3
CHEMBL678104,B,58,3
CHEMBL677771,B,40,3
CHEMBL734661,B,38,3
CHEMBL734662,B,44,3
CHEMBL734663,B,38,3
CHEMBL734664,B,43,3
CHEMBL732057,B,37,3
CHEMBL762625,B,41,3
CHEMBL762469,B,41,3
CHEMBL805746,B,45,3
CHEMBL809525,B,33,3
CHEMBL808906,B,34,3
CHEMBL814092,F,44,3
CHEMBL846104,B,46,3
CHEMBL843921,B,59,3
CHEMBL845954,F,55,3
CHEMBL881730,B,35,3
CHEMBL874570,B,35,3
CHEMBL829211,B,34,3
CHEMBL829212,B,34,3
CHEMBL871766,F,37,3
CHEMBL871768,F,37,3
CHEMBL871770,F,37,3
CHEMBL914633,B,35,3
CHEMBL891544,F,68,3
CHEMBL942712,F,35,3
CHEMBL1007080,B,39,3
CHEMBL993100,B,42,3
CHEMBL1054009,B,42,3
CHEMBL1114508,B,70,3
CHEMBL1115320,B,57,3
CHEMBL1212145,F,58,3
CHEMBL1217672,F,123,3
CHEMBL1274085,B,44,3
CHEMBL1286009,B,35,3
CHEMBL1286011,B,35,3
CHEMBL1285912,B,54,3
CHEMBL1285913,B,54,3
CHEMBL1292940,F,34,3
CHEMBL1291750,F,86,3
CHEMBL1614398,F,106,3
CHEMBL1613864,F,270,3
CHEMBL1614146,F,32120,3
CHEMBL1613836,F,32120,3
CHEMBL1614028,F,108,3
CHEMBL1669969,F,38,3
CHEMBL1671135,B,40,3
CHEMBL1738177,F,51,3
CHEMBL1738186,B,130,3
CHEMBL1737960,F,54,3
CHEMBL1763613,F,36,3
CHEMBL1764200,F,35,3
CHEMBL1816210,B,53,3
CHEMBL1816211,B,53,3
CHEMBL1827060,F,38,3
CHEMBL1831930,F,53,3
CHEMBL1832257,F,37,3
CHEMBL1832258,F,37,3
CHEMBL1832259,F,37,3
CHEMBL1832260,F,37,3
CHEMBL1918004,F,38,3
CHEMBL1932242,B,71,3
CHEMBL1941493,F,41,3
CHEMBL1955300,F,33,3
CHEMBL1955301,F,33,3
CHEMBL1955302,F,33,3
CHEMBL1960316,B,40,3
CHEMBL1960317,B,45,3
CHEMBL2016063,F,36,3
CHEMBL2016064,F,36,3
CHEMBL2169663,B,57,3
CHEMBL3080933,F,66,3
CHEMBL3072154,F,36,3
CHEMBL2319207,F,67,3
CHEMBL2319208,F,67,3
CHEMBL2319210,F,67,3
CHEMBL2319211,F,67,3
CHEMBL2319212,F,67,3
CHEMBL2319215,F,67,3
CHEMBL2321050,F,33,3
CHEMBL2321051,F,33,3
CHEMBL2388468,B,40,3
CHEMBL2394758,B,35,3
CHEMBL2394883,F,33,3
CHEMBL2394884,F,33,3
CHEMBL2428870,B,35,3
CHEMBL2438893,F,35,3
CHEMBL3091163,A,51,3
CHEMBL3108272,B,41,3
CHEMBL3108273,B,41,3
CHEMBL3106263,B,41,3
CHEMBL3106264,B,41,3
CHEMBL3117521,B,49,3
CHEMBL3215112,F,770,3
CHEMBL3215209,F,173,3
CHEMBL3215292,F,242,3
CHEMBL3396589,F,132,3
CHEMBL3413038,B,34,3
CHEMBL3413185,B,56,3
CHEMBL3602718,F,35,3
CHEMBL3618667,F,44,3
CHEMBL3737673,F,50,3
CHEMBL3768105,F,35,3
CHEMBL3773155,F,49,3
CHEMBL3789523,B,33,3
CHEMBL3801196,A,36,3
CHEMBL3830033,B,45,3
CHEMBL3867990,F,33,3
CHEMBL3876858,F,59,3
CHEMBL4158472,B,47,3
CHEMBL4256889,B,37,3
CHEMBL4312793,B,36,3
CHEMBL4321352,B,53,3
CHEMBL4321353,B,53,3
CHEMBL4321354,B,53,3
CHEMBL4321355,B,53,3
CHEMBL4386919,B,35,3
