chembl_id,assay_type,molregno_num,confidence_score
CHEMBL857972,B,67,6
CHEMBL872925,B,43,6
CHEMBL620657,B,50,6
CHEMBL617702,B,37,6
CHEMBL617709,B,43,6
CHEMBL619411,B,33,6
CHEMBL619417,F,47,6
CHEMBL620723,B,41,6
CHEMBL620725,B,43,6
CHEMBL618142,B,47,6
CHEMBL875664,B,33,6
CHEMBL642036,B,35,6
CHEMBL641402,F,52,6
CHEMBL640628,B,45,6
CHEMBL642828,B,49,6
CHEMBL839893,F,41,6
CHEMBL656593,F,63,6
CHEMBL877293,B,76,6
CHEMBL654688,B,41,6
CHEMBL659123,B,40,6
CHEMBL656204,B,49,6
CHEMBL653675,B,49,6
CHEMBL658525,B,35,6
CHEMBL662116,B,95,6
CHEMBL660806,B,51,6
CHEMBL657329,B,39,6
CHEMBL658020,B,42,6
CHEMBL658865,B,35,6
CHEMBL658867,B,58,6
CHEMBL666110,B,60,6
CHEMBL666745,B,39,6
CHEMBL666747,B,58,6
CHEMBL666303,B,34,6
CHEMBL875406,F,37,6
CHEMBL663599,B,47,6
CHEMBL663600,B,35,6
CHEMBL663602,B,38,6
CHEMBL663616,B,70,6
CHEMBL665277,B,64,6
CHEMBL665279,B,72,6
CHEMBL665280,B,34,6
CHEMBL664631,B,60,6
CHEMBL666598,B,38,6
CHEMBL857155,B,75,6
CHEMBL666605,B,55,6
CHEMBL676388,F,62,6
CHEMBL857114,F,61,6
CHEMBL677198,F,39,6
CHEMBL680463,F,62,6
CHEMBL683045,B,144,6
CHEMBL683047,B,55,6
CHEMBL682058,B,37,6
CHEMBL682228,B,44,6
CHEMBL682232,B,82,6
CHEMBL680834,B,47,6
CHEMBL678611,B,43,6
CHEMBL679579,B,45,6
CHEMBL680442,B,36,6
CHEMBL681469,B,33,6
CHEMBL681470,B,50,6
CHEMBL677034,B,36,6
CHEMBL678329,B,146,6
CHEMBL680249,B,65,6
CHEMBL683382,B,45,6
CHEMBL684374,B,35,6
CHEMBL682709,B,36,6
CHEMBL681248,B,136,6
CHEMBL679699,B,34,6
CHEMBL677851,B,45,6
CHEMBL678019,B,43,6
CHEMBL678841,B,38,6
CHEMBL677185,F,63,6
CHEMBL677193,F,43,6
CHEMBL680432,B,36,6
CHEMBL682251,B,146,6
CHEMBL681289,B,38,6
CHEMBL681296,B,157,6
CHEMBL680669,B,35,6
CHEMBL682098,B,43,6
CHEMBL681480,B,149,6
CHEMBL685338,B,58,6
CHEMBL681454,B,42,6
CHEMBL685883,B,37,6
CHEMBL683536,B,41,6
CHEMBL683553,B,42,6
CHEMBL689040,B,44,6
CHEMBL686427,B,86,6
CHEMBL686430,B,130,6
CHEMBL688285,B,53,6
CHEMBL688289,B,110,6
CHEMBL688290,B,66,6
CHEMBL699169,B,43,6
CHEMBL700602,B,42,6
CHEMBL703005,F,62,6
CHEMBL711777,B,63,6
CHEMBL747509,F,35,6
CHEMBL748097,F,35,6
