chembl_id,assay_type,molregno_num,confidence_score
CHEMBL615260,F,37,1
CHEMBL615263,F,37,1
CHEMBL615600,F,40,1
CHEMBL615525,F,37,1
CHEMBL615529,F,41,1
CHEMBL615546,F,40,1
CHEMBL618331,F,37,1
CHEMBL620834,F,34,1
CHEMBL621025,F,51,1
CHEMBL857902,F,54,1
CHEMBL621290,F,54,1
CHEMBL621292,F,54,1
CHEMBL620430,F,34,1
CHEMBL624637,F,59,1
CHEMBL624638,F,59,1
CHEMBL874366,F,59,1
CHEMBL624639,F,59,1
CHEMBL624640,F,59,1
CHEMBL839886,F,72,1
CHEMBL619576,F,33,1
CHEMBL622606,F,39,1
CHEMBL619463,F,39,1
CHEMBL619470,F,33,1
CHEMBL623409,F,37,1
CHEMBL624511,F,50,1
CHEMBL622608,A,40,1
CHEMBL618531,A,33,1
CHEMBL622432,A,36,1
CHEMBL621950,A,35,1
CHEMBL627803,A,33,1
CHEMBL622125,A,33,1
CHEMBL626181,A,41,1
CHEMBL623289,A,113,1
CHEMBL625666,F,61,1
CHEMBL625668,A,38,1
CHEMBL628085,F,37,1
CHEMBL628086,F,38,1
CHEMBL631963,F,63,1
CHEMBL630366,A,45,1
CHEMBL631475,A,51,1
CHEMBL631477,A,55,1
CHEMBL634393,A,41,1
CHEMBL634404,A,69,1
CHEMBL633229,A,36,1
CHEMBL635957,A,80,1
CHEMBL638840,A,45,1
CHEMBL641772,A,101,1
CHEMBL632393,A,41,1
CHEMBL640550,A,57,1
CHEMBL639901,F,80,1
CHEMBL641837,A,74,1
CHEMBL636120,F,37,1
CHEMBL857905,F,34,1
CHEMBL636954,F,53,1
CHEMBL636964,F,52,1
CHEMBL638796,F,55,1
CHEMBL857907,F,54,1
CHEMBL636873,F,34,1
CHEMBL643179,F,43,1
CHEMBL646159,F,43,1
CHEMBL646160,F,43,1
CHEMBL649551,F,34,1
CHEMBL648504,F,54,1
CHEMBL651092,F,59,1
CHEMBL652824,F,78,1
CHEMBL649366,F,58,1
CHEMBL650141,F,45,1
CHEMBL650097,F,42,1
CHEMBL650098,F,39,1
CHEMBL649169,F,103,1
CHEMBL649170,F,62,1
CHEMBL648210,F,56,1
CHEMBL648213,F,88,1
CHEMBL648388,F,189,1
CHEMBL648398,F,59,1
CHEMBL647385,F,116,1
CHEMBL652273,F,34,1
CHEMBL648546,F,53,1
CHEMBL648547,F,85,1
CHEMBL649456,F,52,1
CHEMBL647092,F,44,1
CHEMBL650770,F,46,1
CHEMBL652544,F,36,1
CHEMBL647458,F,33,1
CHEMBL651200,F,53,1
CHEMBL650966,F,85,1
CHEMBL650967,F,52,1
CHEMBL650979,F,34,1
CHEMBL650437,F,47,1
CHEMBL650250,F,38,1
CHEMBL648899,F,44,1
CHEMBL648905,F,34,1
CHEMBL652071,F,34,1
CHEMBL651592,F,53,1
CHEMBL649852,F,38,1
CHEMBL652099,F,53,1
CHEMBL654353,F,34,1
CHEMBL654358,F,45,1
CHEMBL653552,F,50,1
CHEMBL652906,F,41,1
CHEMBL656054,F,41,1
CHEMBL656055,F,41,1
CHEMBL656056,F,41,1
CHEMBL656057,F,41,1
CHEMBL656075,F,53,1
CHEMBL656078,F,45,1
CHEMBL652492,F,138,1
CHEMBL651434,F,64,1
CHEMBL653263,F,70,1
CHEMBL650519,F,49,1
CHEMBL650529,A,49,1
CHEMBL659114,F,103,1
CHEMBL659115,F,61,1
CHEMBL657728,F,41,1
CHEMBL655330,F,56,1
CHEMBL655342,F,53,1
CHEMBL858353,F,50,1
CHEMBL655344,F,53,1
CHEMBL876951,F,53,1
CHEMBL656483,F,33,1
CHEMBL653950,F,36,1
CHEMBL657529,F,36,1
CHEMBL659410,F,50,1
CHEMBL659413,F,35,1
CHEMBL656628,F,189,1
CHEMBL654807,F,34,1
CHEMBL654975,F,59,1
CHEMBL655852,F,48,1
CHEMBL655853,F,48,1
CHEMBL659279,F,36,1
CHEMBL655136,F,71,1
CHEMBL659221,F,38,1
CHEMBL656719,F,62,1
CHEMBL653894,F,43,1
CHEMBL653896,F,77,1
CHEMBL653900,A,77,1
CHEMBL653904,F,56,1
CHEMBL655294,F,78,1
CHEMBL653722,F,43,1
CHEMBL653866,F,33,1
CHEMBL659300,A,35,1
CHEMBL650621,F,33,1
CHEMBL650622,F,33,1
CHEMBL653761,F,35,1
CHEMBL654778,F,43,1
CHEMBL653610,F,39,1
CHEMBL653781,F,34,1
CHEMBL653782,F,57,1
CHEMBL884270,F,36,1
CHEMBL882973,F,35,1
CHEMBL656397,F,42,1
CHEMBL656399,F,37,1
CHEMBL838885,F,43,1
CHEMBL656288,F,37,1
CHEMBL659431,F,40,1
