chembl_id,assay_type,molregno_num,confidence_score
CHEMBL658177,B,63,7
CHEMBL664852,F,65,7
CHEMBL678615,B,45,7
CHEMBL676826,B,62,7
CHEMBL681841,B,61,7
CHEMBL678741,B,62,7
CHEMBL678745,B,62,7
CHEMBL857389,B,51,7
CHEMBL678836,B,101,7
CHEMBL857198,F,59,7
CHEMBL688663,B,33,7
CHEMBL877208,B,33,7
CHEMBL698785,F,35,7
CHEMBL696585,F,86,7
CHEMBL705832,F,45,7
CHEMBL756011,B,38,7
CHEMBL768069,F,63,7
CHEMBL765715,B,37,7
CHEMBL761745,F,50,7
CHEMBL788082,F,40,7
CHEMBL810326,F,61,7
CHEMBL810327,F,62,7
CHEMBL810328,F,62,7
CHEMBL819076,B,42,7
CHEMBL821412,F,51,7
CHEMBL822165,B,56,7
CHEMBL822166,B,52,7
CHEMBL824296,B,49,7
CHEMBL823916,B,56,7
CHEMBL824661,F,41,7
CHEMBL843352,F,41,7
CHEMBL843353,F,41,7
CHEMBL830265,B,35,7
CHEMBL829005,B,101,7
CHEMBL829006,B,101,7
CHEMBL830420,B,101,7
CHEMBL830421,B,101,7
CHEMBL830441,B,37,7
CHEMBL831678,B,39,7
CHEMBL833504,B,34,7
CHEMBL828044,B,68,7
CHEMBL829525,B,34,7
CHEMBL829527,B,33,7
CHEMBL827973,F,64,7
CHEMBL828352,F,36,7
CHEMBL836223,B,45,7
CHEMBL882470,B,39,7
CHEMBL883060,F,46,7
CHEMBL883777,F,45,7
CHEMBL854265,B,42,7
CHEMBL853517,B,37,7
CHEMBL853518,F,33,7
CHEMBL853519,F,33,7
CHEMBL909787,B,42,7
CHEMBL910873,B,34,7
CHEMBL908895,F,157,7
CHEMBL908896,F,129,7
CHEMBL907044,B,100,7
CHEMBL907055,F,50,7
CHEMBL907056,F,50,7
CHEMBL907060,F,50,7
CHEMBL907061,F,50,7
CHEMBL917169,F,33,7
CHEMBL890276,B,120,7
CHEMBL890277,F,63,7
CHEMBL889849,B,33,7
CHEMBL892384,B,124,7
CHEMBL893790,B,66,7
CHEMBL893791,B,41,7
CHEMBL896280,B,49,7
CHEMBL896281,B,49,7
CHEMBL896282,B,49,7
CHEMBL898097,B,47,7
CHEMBL898324,B,37,7
CHEMBL897914,B,48,7
CHEMBL899224,B,33,7
CHEMBL899499,B,53,7
CHEMBL899500,B,53,7
CHEMBL899070,F,38,7
CHEMBL899071,F,38,7
CHEMBL899886,F,110,7
CHEMBL899884,F,102,7
CHEMBL899885,F,57,7
CHEMBL899887,F,57,7
CHEMBL902426,B,34,7
CHEMBL925191,B,55,7
CHEMBL928698,B,39,7
CHEMBL951561,B,35,7
CHEMBL938655,B,38,7
CHEMBL938656,B,38,7
CHEMBL938657,B,38,7
CHEMBL997669,B,36,7
CHEMBL997670,B,36,7
CHEMBL974552,B,44,7
CHEMBL1036605,B,78,7
CHEMBL1028496,B,42,7
CHEMBL954129,F,45,7
CHEMBL954130,F,45,7
CHEMBL1022414,B,36,7
CHEMBL1022415,F,36,7
CHEMBL1022416,B,36,7
CHEMBL960837,F,36,7
CHEMBL1024282,B,40,7
CHEMBL1058163,B,35,7
CHEMBL1056886,B,33,7
CHEMBL1037933,B,33,7
CHEMBL1048198,B,48,7
CHEMBL1074419,B,36,7
CHEMBL1064407,F,34,7
CHEMBL1064408,F,34,7
CHEMBL1068091,F,34,7
CHEMBL1068092,F,34,7
CHEMBL1068094,B,34,7
CHEMBL1068095,B,34,7
CHEMBL1068096,B,34,7
CHEMBL1068097,B,34,7
CHEMBL1069584,F,35,7
CHEMBL1111355,B,38,7
CHEMBL1117063,F,35,7
CHEMBL1105653,B,34,7
CHEMBL1105654,B,33,7
CHEMBL1105655,B,34,7
CHEMBL1105656,B,33,7
CHEMBL1118884,B,45,7
CHEMBL1118885,B,45,7
CHEMBL1168511,B,94,7
CHEMBL1219909,F,94,7
CHEMBL1219911,F,94,7
CHEMBL1219912,F,94,7
CHEMBL1219913,F,94,7
CHEMBL1228898,B,40,7
CHEMBL1246089,B,35,7
CHEMBL1260645,B,57,7
CHEMBL1260646,B,57,7
CHEMBL1260648,F,44,7
CHEMBL1260649,F,44,7
CHEMBL1273615,B,46,7
CHEMBL1273616,B,46,7
CHEMBL1273617,B,46,7
CHEMBL1273618,B,36,7
CHEMBL1273619,B,46,7
CHEMBL1273620,B,46,7
CHEMBL1614124,F,101,7
CHEMBL1614301,F,416,7
CHEMBL1637635,B,117,7
CHEMBL1647327,B,35,7
CHEMBL1647328,B,35,7
CHEMBL1738418,B,244,7
CHEMBL1614105,F,327,7
CHEMBL1737862,F,113,7
CHEMBL1738240,B,88,7
CHEMBL1614290,B,244,7
CHEMBL1781667,B,38,7
CHEMBL1787628,B,42,7
CHEMBL1787779,B,39,7
CHEMBL1805103,B,35,7
CHEMBL1804237,B,36,7
CHEMBL1816006,B,38,7
CHEMBL1832421,B,35,7
CHEMBL1937305,B,38,7
CHEMBL1942646,B,72,7
CHEMBL1953230,B,39,7
CHEMBL1953231,B,38,7
CHEMBL1954620,F,79,7
CHEMBL1954621,F,66,7
CHEMBL2020773,B,40,7
CHEMBL2021101,B,36,7
CHEMBL2021102,B,36,7
CHEMBL2033064,F,34,7
CHEMBL2038011,B,47,7
CHEMBL2092082,B,41,7
CHEMBL2155333,B,40,7
CHEMBL2188243,B,43,7
CHEMBL2188244,B,43,7
CHEMBL2184681,F,59,7
CHEMBL2184682,F,60,7
CHEMBL2184683,F,45,7
CHEMBL2184684,F,46,7
CHEMBL2184686,B,58,7
CHEMBL2185121,B,60,7
CHEMBL2185122,B,60,7
CHEMBL2187475,B,53,7
CHEMBL2187477,B,53,7
CHEMBL2186768,B,39,7
CHEMBL2186769,B,39,7
CHEMBL2182411,B,71,7
CHEMBL2188161,F,38,7
CHEMBL2188164,F,38,7
CHEMBL2219377,B,158,7
CHEMBL2219378,B,158,7
CHEMBL2218968,B,158,7
CHEMBL2218969,B,158,7
CHEMBL2218970,B,158,7
CHEMBL2218971,B,158,7
CHEMBL2218972,B,158,7
CHEMBL2218973,B,158,7
CHEMBL2218976,B,158,7
CHEMBL2218977,B,158,7
CHEMBL2218978,B,158,7
CHEMBL2218979,B,158,7
CHEMBL2218980,B,158,7
CHEMBL2218981,B,158,7
CHEMBL2218982,B,158,7
CHEMBL2218983,B,158,7
CHEMBL2218984,B,158,7
CHEMBL2218985,B,158,7
CHEMBL3069807,B,55,7
CHEMBL3069808,B,89,7
CHEMBL2320288,B,53,7
CHEMBL2320636,B,50,7
CHEMBL2320637,B,49,7
CHEMBL2344497,B,38,7
CHEMBL2350828,B,37,7
CHEMBL2350829,B,37,7
CHEMBL2350830,B,37,7
CHEMBL2350831,B,37,7
CHEMBL2379863,B,69,7
CHEMBL2380185,B,52,7
CHEMBL2382449,B,58,7
CHEMBL2400424,B,40,7
CHEMBL2400425,B,48,7
CHEMBL2400426,B,38,7
CHEMBL2400427,B,46,7
CHEMBL2400428,B,107,7
CHEMBL2400429,B,107,7
CHEMBL2400430,B,107,7
CHEMBL2400431,B,107,7
CHEMBL2412856,B,59,7
CHEMBL2411536,B,37,7
CHEMBL2411537,B,36,7
CHEMBL2411538,B,34,7
CHEMBL2410168,B,36,7
CHEMBL2410349,B,36,7
CHEMBL2410350,B,36,7
