chembl_id,assay_type,molregno_num,confidence_score
CHEMBL615354,B,35,2
CHEMBL889283,A,55,2
CHEMBL898575,A,46,2
CHEMBL888240,A,35,2
CHEMBL936682,A,56,2
CHEMBL945415,A,35,2
CHEMBL939485,A,36,2
CHEMBL1002093,A,41,2
CHEMBL946710,A,45,2
CHEMBL942696,A,33,2
CHEMBL981035,A,36,2
CHEMBL981036,A,36,2
CHEMBL981037,A,36,2
CHEMBL955138,A,41,2
CHEMBL1026898,A,38,2
CHEMBL1062484,A,38,2
CHEMBL1037935,A,33,2
CHEMBL1037936,A,33,2
CHEMBL1041707,A,35,2
CHEMBL1047016,A,39,2
CHEMBL1048199,A,48,2
CHEMBL1050355,A,35,2
CHEMBL1111346,A,88,2
CHEMBL1111347,A,51,2
CHEMBL1106528,A,33,2
CHEMBL1118746,A,33,2
CHEMBL1118303,A,40,2
CHEMBL1120459,A,35,2
CHEMBL1120460,A,35,2
CHEMBL1118160,A,44,2
CHEMBL1118886,A,36,2
CHEMBL1118887,A,44,2
CHEMBL1120742,A,35,2
CHEMBL1169305,A,56,2
CHEMBL1219165,A,34,2
CHEMBL1228174,A,36,2
CHEMBL1225489,A,39,2
CHEMBL1292003,A,34,2
CHEMBL1292203,A,33,2
CHEMBL1641120,A,39,2
CHEMBL1664316,A,49,2
CHEMBL1664317,A,49,2
CHEMBL1686690,A,35,2
CHEMBL1686106,A,33,2
CHEMBL1763142,A,46,2
CHEMBL1763216,A,43,2
CHEMBL1775728,A,37,2
CHEMBL1780338,A,42,2
CHEMBL1780344,A,34,2
CHEMBL1780689,A,38,2
CHEMBL1787627,A,45,2
CHEMBL1820182,A,33,2
CHEMBL1913243,A,33,2
CHEMBL1913245,A,33,2
CHEMBL1919387,A,35,2
CHEMBL1924275,A,67,2
CHEMBL1924804,A,37,2
CHEMBL1925589,A,36,2
CHEMBL1944257,A,55,2
CHEMBL1943118,A,35,2
CHEMBL1954239,A,45,2
CHEMBL1954240,A,45,2
CHEMBL2013366,A,37,2
CHEMBL2013367,A,37,2
CHEMBL2013638,A,62,2
CHEMBL2027043,A,34,2
CHEMBL2027044,A,34,2
CHEMBL2032923,A,49,2
CHEMBL2033870,A,35,2
CHEMBL2067691,F,33,2
CHEMBL2071968,A,36,2
CHEMBL2071971,A,107,2
CHEMBL2071972,A,221,2
CHEMBL2092119,A,46,2
CHEMBL2149461,A,33,2
CHEMBL2149462,A,33,2
CHEMBL2149463,A,34,2
CHEMBL2149225,A,46,2
CHEMBL2155765,A,40,2
CHEMBL2155421,A,51,2
CHEMBL2169662,A,57,2
CHEMBL2168486,A,62,2
CHEMBL2168487,A,62,2
CHEMBL2174229,A,48,2
CHEMBL2175490,A,39,2
CHEMBL2176364,A,37,2
CHEMBL2176365,A,37,2
CHEMBL2186144,A,54,2
CHEMBL2188960,A,35,2
CHEMBL2188962,A,35,2
CHEMBL2213145,A,79,2
CHEMBL2213159,A,55,2
CHEMBL2213242,A,61,2
CHEMBL2321448,A,51,2
CHEMBL2350556,A,38,2
CHEMBL2350557,A,38,2
CHEMBL2350935,A,38,2
CHEMBL2350936,A,38,2
CHEMBL2394867,A,36,2
CHEMBL2395455,A,43,2
CHEMBL2399274,A,43,2
CHEMBL2400407,A,40,2
CHEMBL2404818,A,35,2
CHEMBL2404819,A,38,2
CHEMBL2415508,A,35,2
CHEMBL2434287,A,56,2
CHEMBL2432693,A,59,2
CHEMBL2437607,A,35,2
