chembl_id,assay_type,molregno_num,confidence_score
CHEMBL615539,F,72,8
CHEMBL615579,B,35,8
CHEMBL615580,B,47,8
CHEMBL615451,B,58,8
CHEMBL615458,B,37,8
CHEMBL615459,B,54,8
CHEMBL615745,F,34,8
CHEMBL615636,B,34,8
CHEMBL615820,B,102,8
CHEMBL615831,B,58,8
CHEMBL615835,B,44,8
CHEMBL615918,B,45,8
CHEMBL615772,B,81,8
CHEMBL616128,B,33,8
CHEMBL616051,F,42,8
CHEMBL616225,B,41,8
CHEMBL616417,B,36,8
CHEMBL616057,B,38,8
CHEMBL616069,B,45,8
CHEMBL616072,B,34,8
CHEMBL616088,B,48,8
CHEMBL616104,B,46,8
CHEMBL616105,B,86,8
CHEMBL616108,B,54,8
CHEMBL615959,B,35,8
CHEMBL616294,B,54,8
CHEMBL616540,B,33,8
CHEMBL616186,B,45,8
CHEMBL616188,B,35,8
CHEMBL873475,B,46,8
CHEMBL616198,B,43,8
CHEMBL616201,B,54,8
CHEMBL616203,B,41,8
CHEMBL616207,B,35,8
CHEMBL616210,B,33,8
CHEMBL616211,B,33,8
CHEMBL616306,F,45,8
CHEMBL616308,B,37,8
CHEMBL616310,B,50,8
CHEMBL616569,B,43,8
CHEMBL616573,B,38,8
CHEMBL616591,B,45,8
CHEMBL616594,B,38,8
CHEMBL616337,B,40,8
CHEMBL616344,B,281,8
CHEMBL616345,B,51,8
CHEMBL616346,B,48,8
CHEMBL616349,B,35,8
CHEMBL616154,B,71,8
CHEMBL616994,B,33,8
CHEMBL616639,B,61,8
CHEMBL616641,B,42,8
CHEMBL616642,B,45,8
CHEMBL616643,B,40,8
CHEMBL616515,B,34,8
CHEMBL616666,B,45,8
CHEMBL616907,B,61,8
CHEMBL616908,B,42,8
CHEMBL616911,B,38,8
CHEMBL616912,B,40,8
CHEMBL616931,B,36,8
CHEMBL616553,B,42,8
CHEMBL616791,B,34,8
CHEMBL617559,B,35,8
CHEMBL617560,B,47,8
CHEMBL617570,B,40,8
CHEMBL617573,B,41,8
CHEMBL617575,B,49,8
CHEMBL617092,B,36,8
CHEMBL617305,B,45,8
CHEMBL616868,B,35,8
CHEMBL616870,B,39,8
CHEMBL616730,B,58,8
CHEMBL617142,B,44,8
CHEMBL617198,B,35,8
CHEMBL873476,B,47,8
CHEMBL617075,B,33,8
CHEMBL617078,B,38,8
CHEMBL617268,B,58,8
CHEMBL617346,B,35,8
CHEMBL616876,B,55,8
CHEMBL616877,B,37,8
CHEMBL616879,B,41,8
CHEMBL617102,B,34,8
CHEMBL617104,B,45,8
CHEMBL617124,B,93,8
CHEMBL617461,B,33,8
CHEMBL617951,F,37,8
CHEMBL617752,B,56,8
CHEMBL617754,B,37,8
CHEMBL617757,B,41,8
CHEMBL617854,B,35,8
CHEMBL617855,B,46,8
CHEMBL617786,B,41,8
CHEMBL617615,B,79,8
CHEMBL617628,F,40,8
CHEMBL617877,B,58,8
CHEMBL620619,B,38,8
CHEMBL620665,B,35,8
CHEMBL619040,B,41,8
CHEMBL875079,F,51,8
CHEMBL620784,B,40,8
CHEMBL620800,B,52,8
CHEMBL620819,B,42,8
CHEMBL618165,B,40,8
CHEMBL620767,B,37,8
CHEMBL619878,F,38,8
CHEMBL619882,B,42,8
CHEMBL618006,B,65,8
CHEMBL618012,B,53,8
CHEMBL619391,B,34,8
CHEMBL619406,B,77,8
CHEMBL619911,B,51,8
CHEMBL619914,B,47,8
CHEMBL619924,B,57,8
CHEMBL619926,B,35,8
CHEMBL619928,B,68,8
CHEMBL618056,B,59,8
CHEMBL618063,B,63,8
CHEMBL619255,B,40,8
CHEMBL619233,B,36,8
CHEMBL619246,B,41,8
CHEMBL619999,B,65,8
CHEMBL620004,F,113,8
CHEMBL620862,B,42,8
CHEMBL618417,B,35,8
CHEMBL637241,F,33,8
CHEMBL643493,B,53,8
CHEMBL643499,B,74,8
CHEMBL639492,B,52,8
CHEMBL636849,B,87,8
CHEMBL642332,B,53,8
CHEMBL644831,B,34,8
CHEMBL645004,B,40,8
CHEMBL639363,B,49,8
CHEMBL639364,B,49,8
CHEMBL636813,F,36,8
CHEMBL642845,B,42,8
CHEMBL642858,B,48,8
CHEMBL640700,B,94,8
CHEMBL636729,B,47,8
CHEMBL644792,B,154,8
CHEMBL644793,B,139,8
CHEMBL644794,B,116,8
CHEMBL644896,B,38,8
CHEMBL649108,B,34,8
CHEMBL644200,B,41,8
CHEMBL638445,B,35,8
CHEMBL638608,B,42,8
CHEMBL638609,B,49,8
CHEMBL857056,B,45,8
CHEMBL640605,B,76,8
CHEMBL640779,B,36,8
CHEMBL636766,B,36,8
CHEMBL643482,B,34,8
CHEMBL643484,B,45,8
CHEMBL875796,B,34,8
CHEMBL636829,B,38,8
CHEMBL636835,B,45,8
CHEMBL638717,B,33,8
CHEMBL638724,B,53,8
CHEMBL642253,B,33,8
CHEMBL642255,B,41,8
CHEMBL642431,B,34,8
CHEMBL639430,B,37,8
CHEMBL639433,B,35,8
CHEMBL637899,B,39,8
CHEMBL637903,B,56,8
CHEMBL641389,B,45,8
CHEMBL641566,B,43,8
CHEMBL641567,B,54,8
CHEMBL641883,B,42,8
CHEMBL640364,B,36,8
CHEMBL640367,B,44,8
CHEMBL642306,B,100,8
CHEMBL641041,B,65,8
CHEMBL642193,F,36,8
CHEMBL641717,B,33,8
CHEMBL643074,B,33,8
CHEMBL640282,B,37,8
CHEMBL639642,B,35,8
CHEMBL636643,B,35,8
CHEMBL636647,B,42,8
CHEMBL639739,B,49,8
CHEMBL639743,B,35,8
CHEMBL639750,B,33,8
CHEMBL636652,F,58,8
CHEMBL636666,B,33,8
CHEMBL875506,B,36,8
CHEMBL636669,B,42,8
CHEMBL641238,B,60,8
CHEMBL642168,B,43,8
CHEMBL643011,B,36,8
CHEMBL641299,B,99,8
CHEMBL641306,F,35,8
CHEMBL640587,B,35,8
CHEMBL640634,B,33,8
CHEMBL636450,B,70,8
CHEMBL638561,B,74,8
CHEMBL638577,B,47,8
CHEMBL638578,B,38,8
CHEMBL643130,B,35,8
CHEMBL642011,B,35,8
CHEMBL642023,B,35,8
CHEMBL649793,F,34,8
CHEMBL873051,B,62,8
CHEMBL645070,B,48,8
CHEMBL645077,B,41,8
CHEMBL875015,F,35,8
CHEMBL647729,B,36,8
CHEMBL647731,B,34,8
CHEMBL642117,B,34,8
CHEMBL640427,B,35,8
CHEMBL642225,B,39,8
CHEMBL643544,B,34,8
CHEMBL643545,B,35,8
CHEMBL643556,B,33,8
CHEMBL641141,B,43,8
CHEMBL875247,B,45,8
CHEMBL642211,B,34,8
CHEMBL644656,B,42,8
CHEMBL644661,B,74,8
CHEMBL875928,B,45,8
CHEMBL647997,B,44,8
CHEMBL648002,B,53,8
CHEMBL647229,B,38,8
CHEMBL647231,B,34,8
CHEMBL647232,B,34,8
CHEMBL643840,B,35,8
CHEMBL648023,B,84,8
CHEMBL641353,B,85,8
CHEMBL641358,B,64,8
CHEMBL643098,B,58,8
CHEMBL643203,B,47,8
CHEMBL641338,B,74,8
CHEMBL641515,B,38,8
CHEMBL641516,B,36,8
CHEMBL644389,B,33,8
CHEMBL645666,F,43,8
CHEMBL645667,F,45,8
CHEMBL645668,B,45,8
CHEMBL645669,B,42,8
CHEMBL645672,F,39,8
CHEMBL642953,B,48,8
CHEMBL642956,B,56,8
CHEMBL640535,B,35,8
CHEMBL646598,B,51,8
CHEMBL646606,B,43,8
CHEMBL649053,B,34,8
CHEMBL876585,B,62,8
CHEMBL645323,B,35,8
CHEMBL643400,B,35,8
CHEMBL645993,B,81,8
CHEMBL645994,B,43,8
CHEMBL646002,B,42,8
CHEMBL645195,F,63,8
CHEMBL873060,B,33,8
CHEMBL648011,B,53,8
CHEMBL644689,B,44,8
CHEMBL643951,B,44,8
CHEMBL652819,B,34,8
CHEMBL646819,B,36,8
CHEMBL647055,B,36,8
CHEMBL643754,B,33,8
CHEMBL646012,B,43,8
CHEMBL646170,B,51,8
CHEMBL646286,B,42,8
CHEMBL648415,B,47,8
CHEMBL649207,B,53,8
CHEMBL649215,B,43,8
CHEMBL648097,B,42,8
CHEMBL648102,B,53,8
CHEMBL651990,B,35,8
CHEMBL644580,B,37,8
CHEMBL644582,B,52,8
CHEMBL648961,B,42,8
CHEMBL648963,B,42,8
CHEMBL648760,B,43,8
CHEMBL648492,B,61,8
CHEMBL648942,B,44,8
CHEMBL647399,B,40,8
